tspan,Temperature
02-Jun-2022 09:00:00,289.7134
02-Jun-2022 10:00:00,289.9766
02-Jun-2022 11:00:00,290.2551
02-Jun-2022 12:00:00,290.4586
02-Jun-2022 13:00:00,290.4684
02-Jun-2022 14:00:00,290.5554
02-Jun-2022 15:00:00,290.3475
02-Jun-2022 16:00:00,290.2225
02-Jun-2022 17:00:00,289.8936
02-Jun-2022 18:00:00,289.5806
02-Jun-2022 19:00:00,289.3716
02-Jun-2022 20:00:00,288.9733
02-Jun-2022 21:00:00,288.6472
02-Jun-2022 22:00:00,288.2798
02-Jun-2022 23:00:00,287.9168
03-Jun-2022 00:00:00,287.8104
